lc1	NarrowSubject	BenSubject	classification
QL	Zoology	Science	QL Zoology
QM	Human anatomy	Science	QM Human anatomy
QP	Physiology	Science	QP Physiology
QR	Microbiology	Science	QR Microbiology
R	MEDICINE	Medicine	R MEDICINE
RA	Public aspects of medicine	Medicine	RA Public aspects of medicine
RB	Pathology	Medicine	RB Pathology
RC	Internal medicine	Medicine	RC Internal medicine
RD	Surgery	Medicine	RD Surgery
RE	Ophthalmology	Medicine	RE Ophthalmology
RF	Otorhinolaryngology	Medicine	RF Otorhinolaryngology
RG	Gynecology and obstetrics	Medicine	RG Gynecology and obstetrics
RJ	Pediatrics	Medicine	RJ Pediatrics
RK	Dentistry	Medicine	RK Dentistry
RL	Dermatology	Medicine	RL Dermatology
RM	Therapeutics. Pharmacology	Medicine	RM Therapeutics. Pharmacology
RS	Pharmacy and materia medica	Medicine	RS Pharmacy and materia medica
RT	Nursing	Medicine	RT Nursing
RV	Botanic, Thomsonian, and eclectic medicine	Medicine	RV Botanic, Thomsonian, and eclectic medicine
RX	Homeopathy	Medicine	RX Homeopathy
RZ	Other systems of medicine	Medicine	RZ Other systems of medicine
S	AGRICULTURE	Agriculture	S AGRICULTURE
SB	Plant culture	Agriculture	SB Plant culture
SD	Forestry	Agriculture	SD Forestry
SF	Animal culture	Agriculture	SF Animal culture
SH	Aquaculture. Fisheries. Angling	Agriculture	SH Aquaculture. Fisheries. Angling
SK	Hunting sports	Agriculture	SK Hunting sports
Sub	Subclass - KD-KDK United Kingdom and Ireland	Law	Sub Subclass - KD-KDK United Kingdom and Ireland
T	TECHNOLOGY	Technology	T TECHNOLOGY
TA	Engineering (General). Civil engineering	Technology	TA Engineering (General). Civil engineering
TC	Hydraulic engineering. Ocean engineering	Technology	TC Hydraulic engineering. Ocean engineering
TD	Environmental technology. Sanitary engineering	Technology	TD Environmental technology. Sanitary engineering
TE	Highway engineering. Roads and pavements	Technology	TE Highway engineering. Roads and pavements
TF	Railroad engineering and operation	Technology	TF Railroad engineering and operation
TG	Bridge engineering	Technology	TG Bridge engineering
TH	Building construction	Technology	TH Building construction
TJ	Mechanical engineering and machinery	Technology	TJ Mechanical engineering and machinery
TK	Electrical engineering. Electronics. Nuclear engineering	Technology	TK Electrical engineering. Electronics. Nuclear engineering
TL	Motor vehicles. Aeronautics. Astronautics	Technology	TL Motor vehicles. Aeronautics. Astronautics
TN	Mining engineering. Metallurgy	Technology	TN Mining engineering. Metallurgy
TP	Chemical technology	Technology	TP Chemical technology
TR	Photography	Technology	TR Photography
TS	Manufactures	Technology	TS Manufactures
TT	Handicrafts. Arts and crafts	Technology	TT Handicrafts. Arts and crafts
TX	Home economics	Technology	TX Home economics
U	MILITARY SCIENCE	Military Science	U MILITARY SCIENCE
UA	Armies: Organization, distribution, military situation	Military Science	UA Armies: Organization, distribution, military situation
UB	Military administration	Military Science	UB Military administration
UC	Maintenance and transportation	Military Science	UC Maintenance and transportation
UD	Infantry	Military Science	UD Infantry
UE	Cavalry. Armor	Military Science	UE Cavalry. Armor
UF	Artillery	Military Science	UF Artillery
UG	Military engineering. Air forces	Military Science	UG Military engineering. Air forces
UH	Other services	Military Science	UH Other services
V	NAVAL SCIENCE	Military Science	V NAVAL SCIENCE
VA	Navies: Organization, distribution, naval situation	Military Science	VA Navies: Organization, distribution, naval situation
VB	Naval administration	Military Science	VB Naval administration
VC	Naval maintenance	Military Science	VC Naval maintenance
VD	Naval seamen	Military Science	VD Naval seamen
VE	Marines	Military Science	VE Marines
VF	Naval ordnance	Military Science	VF Naval ordnance
VG	Minor services of navies	Military Science	VG Minor services of navies
VK	Navigation. Merchant marine	Military Science	VK Navigation. Merchant marine
VM	Naval architecture. Shipbuilding. Marine engineering	Military Science	VM Naval architecture. Shipbuilding. Marine engineering
Z	BIBLIOGRAPHY. LIBRARY SCIENCE.	General and Reference	Z BIBLIOGRAPHY. LIBRARY SCIENCE.
ZA	Information resources (General)	General and Reference	ZA Information resources (General)
