bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
948650	507647			0	lostmanuscriptno00freyiala	15348460	ilu	1898	Chicago	The Open Court Publishing Company [etc., etc.]	The lost manuscript.	1816	1865	Gustav Freytag	252086	USA	IL	82	NULL	NULL	NULL	NULL	eng	1816
327451	454908	eng	F586 .M38	6043087	reminiscencesofm00mart	0	wiu	1888	[Madison		Reminiscences of Morgan L. Martin, 1827-1887.	1805	1888	Morgan L[ewis] Martin	12137	USA	WI	83	NULL	F	F	586	eng	1805
254712	676209	eng		0	versesvarsitysch00baca	13279760	enk	1914	Cambridge	Spalding	Verses 'varsity, scholastic, and otherwise	NULL	NULL	NULL	5374	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
281678	279957	eng	F612.L9 C3	0	historyoflyoncou00case	0	mnu	1884	[Marshall, Minn		History of Lyon County.	NULL	1884	Christopher F. Case	24780	USA	MN	NULL	NULL	F	F	612	eng	NULL
188608	1061998			0	laustraliedcouv01roygoog	0		1855		A. Mame et cie	L'Australie: d	NULL	1855	Just-Jean-Etienne Roy	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
906440	1322449			0	notesjottingsfro00buckiala	0	enk	1886	London	Smith, Elder	Notes and jottings from animal life	1826	NULL	Francis T. Buckland	120574	UK	NULL	60	NULL	NULL	NULL	NULL	eng	1826
700520	150281	ger	D200 L66	400	geschichtedessp00lose	1933492	gw	1903	M	R. Oldenbourg	Geschichte des sp	1846	NULL	Johann Loserth	232827	Germany	NULL	57	NULL	D	D	200	ger	1846
248098	299243	eng		0	narrativeofreviv00robe	31342076	stk	1840	Glasgow	William Collins	Narrative of the revival of religion at Kilsyth, Cambusland, and other places in 1742	1688	NULL	James Robe	96170	UK	NULL	152	NULL	NULL	NULL	NULL	eng	1688
248422	954340	eng		0	nixonscheshirepr00nixo	13130664	enk	1878	Manchester [Eng.]	Heywood	Nixon's Cheshire prophecies	NULL	NULL	Nixon, Robert	20265	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
64219	1010867	akk		0	serababylonianex03univuoft	0	pau	1893	Philadelphia	Dept. of Archaeology, University of Pennsylvania	The Babylonian Expedition of the University of Pennsylvania. Series A: Cuneiform texts	NULL	1893	University of Pennsylvania	63408	USA	PA	NULL	NULL	NULL	NULL	NULL	akk	NULL
306073	1116045	fre		0	cihm_02084	0	quc	1896	[Qu	s.n.]	Tiers-Ordre de saint Fran	NULL	NULL	NULL	34720	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
564118	1177628			0	rectorialaddress00carn	0	stk	1905	St. Andrews		Rectorial address, delivered to the students in the Univ. of St. Andrews, 17th Oct., 1905.	1835	NULL	Andrew Carnegie	11988	UK	NULL	70	NULL	NULL	NULL	NULL	eng	1835
336988	939155	eng	BL2775 .B7	38034598	biblereligionsc00browgoog	0	wiu	1882	Milwaukee, Wis	The author	bible of the religion of science	NULL	1882	Henry S. Brown	122598	USA	WI	NULL	NULL	B	BL	2775	eng	NULL
239648	1086922	yid		0	nybc207113	0	nyu	1918	Nyu Yorḳ	Idish	Di ṿerḳ fun Haynrikh Hayne	1797	NULL	Heinrich Heine	NULL	USA	NY	121	NULL	NULL	NULL	NULL	yid	1797
1026653	182727		E83.76 C68 1883	20016789	colhenrybouqueth00cortuoft	0	pau	1883	Lancaster, Pa	Steinman & Hensel, printers	Col. Henry Bouquet and his campaigns of 1763 and 1764	1834	1883	Cyrus Cort	83650	USA	PA	49	NULL	E	E	83		1834
1003153	317964			0	foxhuntingasreco00stepiala	4673266	mau	1873	Boston	J. Osgood	Fox-hunting	1844	1873	Stephens, C. A.	55426	USA	MA	29	NULL	NULL	NULL	NULL	eng	1844
868462	301791		PZ3.S32 Hy	20017964	hyphenxx01scheiala	1310665	nyu	1920	New York	E.P. Dutton & Company	hyphen	1875	NULL	Lida Clara Schem	164415	USA	NY	45	NULL	P	PZ	3	eng	1875
940804	1335418			0	missionaryaddres00mcleuoft	0	mou	1895	St. Louis	Christian Publishing Company	Missionary addresses	1850	NULL	McLean, Archibald	100261	USA	MO	45	NULL	NULL	NULL	NULL		1850
53121	392348	eng		0	MN40265ucmf_11	41078144	nyu	1905	New York	Thomas Y. Crowell Co.	minister as prophet	1860	1905	Charles Edward Jefferson	28361	USA	NY	45	NULL	NULL	NULL	NULL	eng	1860
933482	860870		PS2331 .U6	12039684	underwood00henrrich	3475417	mau	1893	Boston	Lee and Shepard	poet and the man	1825	1893	Francis Henry Underwood	23765	USA	MA	68	NULL	P	PS	2331		1825
253305	578798	eng		0	straffordromance13bake	276174268	xxk	1878	London	Tinsley Brothers	Strafford	1845	NULL	Henry Barton Baker	116558	UK	NULL	33	NULL	NULL	NULL	NULL	eng	1845
997287	345328			0	overlandmonthly219111sanfrich	4894800	cau	1883	San Francisco, Cal	Samuel Carson	Overland monthly	NULL	NULL	NULL	56070	USA	CA	NULL	NULL	NULL	NULL	NULL		NULL
527253	1171402	eng		0	cihm_27839	0	miu	1891	Detroit	Detroit Pub. Co.	The odd man and his oddities	1820	NULL	Poole, W. H.	54683	USA	MI	71	NULL	NULL	NULL	NULL	Unknown	1820
907213	914787		PZ3.R135 Dau	14017091	daughterofdonsst00rainiala	11593534	nyu	1914	New York	G.W. Dillingham Company	daughter of the dons	1871	NULL	Raine, William MacLeod	53612	USA	NY	43	NULL	P	PZ	3	eng	1871
225402	819057			0	methodismincana00suthgoog	4588643		1904		Methodist Mission Rooms	Methodism in Canada: Its Work and Its Story	NULL	1904	Alexander Sutherland	92892	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
473543	536594	ita		12022990	laciviltcattoli27unkngoog	1774680		1883		Civilt	La Civilt	NULL	NULL	NULL	4952	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ita	NULL
