bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
278100	1105429	ger		0	franzsischeges0102rankuoft	0	ge	1876	Leipzig	Duncker [und] Humblot	Franz	1795	NULL	Leopold von Ranke	262827	Germany	NULL	81	NULL	NULL	NULL	NULL	ger	1795
452285	149121	eng		0	stormdriftpoems00clargoog	11802738		1882		D. Bogue	Storm-drift: Poems and Sonnets	NULL	NULL	NULL	34518	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
600123	1196233	eng		0	cihm_37001	0	quc	1874	Montreal	J. Lovell	Montreal directory for 1871-72	NULL	NULL	NULL	655673	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
233981	462152	ger		0	3357410	25740534	gw	1876	M	C. Kaiser	Ueber die Dichtung der ersten Scene des "Rheingold" von Richard Wagner	1850	1876	Edmund von Hagen	70186	Germany	NULL	26	NULL	NULL	NULL	NULL	ger	1850
370936	256882	por		0	duranteaacalmao00allegoog	38784385		1908		Tip. "A Editora"	Durante a acalma	1841	NULL	William Pessoa Allen	20292	NULL	NULL	67	NULL	NULL	NULL	NULL	por	1841
767349	813654	fre	D516 .G73 1918	19001600	lechevaldetroier00valo	0	fr	1918	Paris	Nouvelle librairie nationale	Le cheval de Troie	1878	NULL	Georges Valois	56331	France	NULL	40	NULL	D	D	516	fre	1878
73599	687107	eng		5038198	finalreportohio00managoog	0	xx	1877	Columbus	Nevins & Myers	Final report of the Ohio State board of Centennial managers to the General assembly of the State of Ohio	NULL	NULL	Ohio. State Board of Centennial Managers, 1876	52851	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
867353	18963			0	pandoranovel00salziala	14443393	cau	1901	San Francisco	The Whitaker & Ray Co.	Pandora	NULL	1901	Salzscheider Mrs.	36002	USA	CA	NULL	NULL	NULL	NULL	NULL	eng	NULL
158064	1050899			0	gentlemanaroman01olligoog	0		1908		The Macmillan Company	The Gentleman: A Romance of the Sea	NULL	1908	Alfred Ollivant	108567	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
955980	1341097			0	lifeofjamesabram00balc	0	mou	1881	Philadelphia	Hubbard Brothers	life of James Abram Garfield	1852	NULL	Balch, William Ralston	188086	USA	MO	29	NULL	NULL	NULL	NULL		1852
617935	1207264	spa		0	discretasyhermos00quer	0	pe	1770	Lima	s.n.	Discretas y hermosas se	NULL	NULL	Antonio Hermenegildo Querejazu y Mollinedo	908	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
225798	287540			0	diseasesinfancy01howlgoog	78160280		1917		D. Appleton	The Diseases of infancy and childhood: For the Use of Students and Practitioners of Medicine	NULL	NULL	Luther Emmett Holt 	454329	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
138154	1043779			0	journal08illigoog	0		1855		Illinois State Archives	Journal	NULL	NULL	Illinois General Assembly. House of Representatives 	299976	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
412483	393466	dut		0	verhandelingenr12genogoog	38921549		1810		De Erven F. Bohn	Verhandelingen: rakende de natuurlijke en geopenbaarde Godsdienst	NULL	NULL	NULL	70825	NULL	NULL	NULL	NULL	NULL	NULL	NULL	dut	NULL
953438	65725		QL351 .A26	6033283	essayonclassific00agas	0	enk	1859	London	Longman, Brown, Green, Longmans, & Roberts [etc.]	An essay on classification	1807	1859	Jean Louis Rodolphe Agassiz	125661	UK	NULL	52	NULL	Q	QL	351	eng	1807
459701	901194	eng		0	actsrelatingtol00atkigoog	25003320		1833		Miliken & Son	Acts Relating to the Law of Real Property: Passed in the Last Session of Parliament ; Also, The ...	NULL	1833	Solomon Atkinson	64208	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
651754	1226400	fre		0	laguerreenartois00lobb	0	fr	1916	Paris	T	La guerre en Artois	1856	NULL	Emile Louis Cornil Lobbedey	161758	France	NULL	60	NULL	NULL	NULL	NULL	fre	1856
657357	785476	eng	PT5831K5 E5 1895	0	littlejohannes00eede	221052394	enk	1895	London	W. Heinemann	Little Johannes	1860	NULL	Frederik van Eeden	37004	UK	NULL	35	NULL	P	PT	5831	eng	1860
92820	434996	eng	PL2907 .G5	1029917	ahistorychinese00gilegoog	0	nyu	1901	New York	D. Appleton and company	A history of Chinese literature	1845	NULL	Herbert Allen Giles	113691	USA	NY	56	NULL	P	PL	2907	eng	1845
157235	950183			0	blackwoodsedinb11unkngoog	1781863		1882		W. Blackwood [etc.]	Blackwood's Edinburgh Magazine	NULL	NULL	NULL	453383	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
128861	938476			0	hkaindiathknovu00griegoog	80711968		1823		impensis G. et W.B . Whittaker	Hē Kainē Diathēkē: Novum Testamentum graece. Cura Leusdenii et Griesbachii	NULL	NULL	Johannes Leusden 	71342	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
224931	1075209			0	solarsystemsixl00lowegoog	0		1903		Houghton, Mifflin andcompany	The Solar System: Six Lectures Delivered at the Massachusetts Institute of ...	NULL	1903	Percival Lowell	27576	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
164990	1053418			0	reporthearingso01housgoog	0		1910		Govt. print. off.	Report of Hearings on H. Res. 587, Calling Upon the Attorney-general to ...	NULL	NULL	United States District of Columbia 	29897	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
923395	1328886			0	lyricalrecreations00wardrich	0	enk	1883	London : Macmillan		Lyrical recreations	1814	1865	Ward, Samuel	20999	UK	NULL	69	NULL	NULL	NULL	NULL	eng	1814
229134	846352			0	indianmusalmans01huntgoog	63471737		1872		Tr	The Indian Musalmans: Are They Bound in Conscience to Rebel Against the Queen?	1840	1871	William Wilson Hunter	59861	NULL	NULL	32	NULL	NULL	NULL	NULL	eng	1840
894484	671117		E436 .G88	10011208	responsibilityfo00grow	0	us	1859	[n.p		Responsibility for organizing the House, and for the defeat of the Post Office appropriation bill.	1823	1859	Grow, Galusha A.	8959	NULL	NULL	36	NULL	E	E	436	eng	1823
379364	148849	eng		0	kaleidoscopeech00tocqgoog	30119393		1895		Hunter, Rock	Kaleidoscope Echoes, Being Historical, Philosophical, Scientific, and Theological Sketches, from ...	1814	NULL	Philip Tocque	87219	NULL	NULL	81	NULL	NULL	NULL	NULL	eng	1814
447904	536505	eng		0	elementsmoralph01parkgoog	11904770		1825		J.B. Moore & J.W . Shepard	Elements of Moral Philosophy: Comprising the Theory of Morals and Practical Ethics	NULL	NULL	NULL	72647	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
118542	349791			0	cursoprcticodee01chergoog	1006952		1919		J. C. Winston	Curso Pr	NULL	1919	Giuseppe Cherubini	36775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	spa	NULL
141379	775836			0	germanreaderfor00haergoog	2282372		1915		Ginn and company	German Reader for Beginners: Based on Fairy Tales	1876	1915	Martin Henry Haertel	57294	NULL	NULL	39	NULL	NULL	NULL	NULL	ger	1876
360417	187828	ger		0	amordeieinspino00kolbgoog	19641636		1912		A.Langen, G. M	Amor dei: Ein Spinoza-roman	1878	1912	Erwin Guido Kolbenheyer	110720	NULL	NULL	34	NULL	NULL	NULL	NULL	ger	1878
284031	365922	eng	BS2615 .O7	5041202	johnsgospelapolo00oost	0	stk	1869	Edinburgh	T. and T. Clark; [etc., etc.]	John's Gospel: apologetical lectures.	NULL	NULL	J. J. van Oosterzee	65534	UK	NULL	NULL	NULL	B	BS	2615	eng	NULL
513321	1167693	fre		0	ludendorff00buat	0	fr	1921	Paris	Payot	Ludendorff.	NULL	NULL	Edmond Alphonse Léon Buat	68245	France	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
488205	1155416	eng		0	tastamantitkt00klei	0	dk	1893	Kj	A. Rosenbergs Bogtrykkeri	Tastamantit	NULL	NULL	NULL	61368	Denmark	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
417129	1142115	eng		0	heavenlythought00thougoog	0		1851			Heavenly thoughts for morning hours: selections, with a short intr., by lady C. Long	NULL	NULL	NULL	51118	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
408350	1140518	fre		0	malakozoologisc00pfeigoog	0		1877			Malakozoologische Blatter fur 1877.	NULL	NULL	NULL	86529	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
74344	683308	eng	DA380 .M26	4007219	courtandsociety00mancgoog	0	enk	1864	London	Hurst and Blackett	Court and society from Elizabeth to Anne.	1823	NULL	William Drogo Montagu Manchester	137379	UK	NULL	41	NULL	D	DA	380	eng	1823
444509	261046	eng	PS3545.H76 V4 1902	2030242	versionsversesso00whit	0	mau	1902	Springfield, Mass	The Ridgewood press	Versions & verses, sonnets after the Italian and other sonnets	NULL	1902	Frederic Whitmore	4205	USA	MA	NULL	NULL	P	PS	3545	eng	NULL
321584	164275	eng	F472.H65 W54	78309790	wilsonshistoryof00wils	0	mou	1909	[Hermitage? Mo	s.n.	Wilson's history of Hickory County.	1848	NULL	F. Marion Wilson	52829	USA	MO	61	NULL	F	F	472	eng	1848
998215	1357238			0	judicialworkofco00hotcrich	0	nyu	1911	Ithaca, N.Y	Cornell University	judicial work of the comptroller of the Treasury as compared with similar functions in the governments of France and Germany	1874	NULL	Willard E. Hotchkiss	58550	USA	NY	37	NULL	NULL	NULL	NULL	eng	1874
286951	1108851	fre		0	leonsdephysiol00dubo	0	xx	1900	Paris	Carr	Le	NULL	1900	R. Dubois	87418	France	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
780878	282211	eng	DS785 .H57	25004119	southerntibetdis04hedi	3394038	sw	1916	Stockholm	Lithographic institute of the General staff of the Swedish army	Southern Tibet	1865	NULL	Sven Hedin	179616	Sweden	NULL	51	NULL	D	DS	785	eng	1865
509860	1165663	eng		0	addressofcharlesf00adam	0	nyu	1873	New York	D. Appleton	The address of Charles Francis Adams, of Massachusetts, on the life, character and services of William H. Seward	1807	NULL	Adams, Charles Francis	17746	USA	NY	66	NULL	NULL	NULL	NULL	eng	1807
94651	1027039	spa		0	gustavotercerool00mate	0	sp	1847	Madrid	Impr. de V. de Lalama	Gustavo tercero, o, La conjuracion de Suecia	NULL	NULL	NULL	9773	Spain	NULL	NULL	NULL	NULL	NULL	NULL	spa	NULL
797620	395203	lat	Z6621.R78 G88	3005419	codicesurbinate00storgoog	3178920	it	1895	Romae	ex Typographeo vaticano	Codices urbinates graeci Bibliothecae Vaticanae, descripti praeside Alfonso cardinali Capecelatro.	NULL	1895	Biblioteca apostolica vaticana	119614	Italy	NULL	NULL	NULL	Z	Z	6621	Unknown	NULL
965576	388095		DA536 G7 A4 1894	0	lettersofharriet02granuoft	0	|||	1894	London	Longmans, Green	Letters of Harriet, Countess Granville, 1810-1845	1785	NULL	Granville, Harriet Granville Countess	107014	UK	NULL	109	NULL	D	DA	536		1785
37831	42846	fre	D1058 B2	0	coupdoeilpolitiq01jbciuoft	0		1799	Paris	A l'ancienne librairie de Dupont de Nemours, 8	Coup d'oeil politique sur l'Europe 	NULL	NULL	NULL	77503	France	NULL	NULL	NULL	D	D	1058	fre	NULL
470024	226562	ger		0	dieweltsprachen00schwgoog	26394382		1902		Weidmannsche buchhandlung	Die Weltsprachen des Altertums in ihrer geschichtlichen Stellung	1874	1902	Eduard Schwyzer	9250	NULL	NULL	28	NULL	NULL	NULL	NULL	ger	1874
276592	303139	eng	TK4351 P7	0	evolutionofelect00popeuoft	0		1889	Elizabeth, N.J	H. Cook	Evolution of the electric incandescent lamp.	1840	NULL	Franklin Leonard Pope	40798	NULL	NULL	49	NULL	T	TK	4351	eng	1840
20060	907677			0	successfullifead00patt	12987396	nyu	1898	Geneva	Press of W. F. Humphrey	successful life	1839	1898	Patterson, Edward	6448	USA	NY	59	NULL	NULL	NULL	NULL	eng	1839
250199	776144	lat		0	polancicomplemen06pola	1936667	it	1916	Matriti	Typis G. Lpez de Horno	Polanci complementa.	1516	NULL	Juan-Alphonso de Polanco	214008	Italy	NULL	400	NULL	NULL	NULL	NULL	spa	1516
23198	998075	ger		0	beitrgezurstat00steguoft	0	ge	1893	Dresden	Teubner	Beitr	NULL	NULL	Edm Steglich	121086	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
620915	1209092	fre		0	oeuvresdeleconte01leco	0	fr	1881	Paris	A. Lemerre	Oeuvres de Leconte de Lisle	1818	NULL	Charles Marie René Leconte de Lisle	60303	France	NULL	63	NULL	NULL	NULL	NULL	fre	1818
949881	278778		BX5133 V3 R4 1894	0	restlessthoughts00vauguoft	0	|||	1894	London	Macmillan	Restless thoughts in restless times.	1816	NULL	Charles John Vaughan	72982	UK	NULL	78	NULL	B	BX	5133	eng	1816
771666	399089	eng	GV1557 .L8	20008211	cu31924087818864	13687838	mau	1920	Somerville, Mass	R.W. Doidge	Vaudeville ventriloquism	NULL	NULL	David J. Lustig	8719	USA	MA	NULL	NULL	G	GV	1557	eng	NULL
176290	1057512			0	recentprogressa01loomgoog	0		1856		Harper & brothers	The Recent Progress of Astronomy: Especially in the United States	NULL	1850	Elias Loomis	93292	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
474302	974199	eng		16017952	asketchlifesylv00conegoog	11580416		1887		Printed by A. Mudge & son	A Sketch of the Life of Sylvester Morris	NULL	1887	Kate Eugenia (Morris ) Cone	7833	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
573296	1182030			0	essaysonphysiogn02lava	0	enk	1797	London	Sold by H.D. Symonds	Essays on physiognomy	1741	NULL	Johann Caspar Lavater	54518	UK	NULL	56	NULL	NULL	NULL	NULL	eng	1741
499259	773174	fre		0	lartdujardinierd00mr	18228213	fr	1827	Paris	Librairie scientifique et industrielle, Malher et Compagnie	art du jardinier	NULL	NULL	A. J. Mérault	118421	France	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
707585	1268072	ger		0	dielateinischens00bart	18929720	ge	1868	Rostock	Adler	Die lateinischen Sequenzen des Mittelalters in musikalischer und rhythmischer Beziehung	1832	NULL	Karl Bartsch	NULL	NULL	NULL	36	NULL	NULL	NULL	NULL	ger	1832
580641	269429	eng	HB1321 .H6	14017251	significanceofde01hoff	0	nju	1914	[Newark, N.J	Prudential press	The significance of a declining death rate	1865	NULL	Frederick Ludwig Hoffman	20059	USA	NJ	49	NULL	H	HB	1321	eng	1865
23436	957413	eng	DS507 .F85	2005890	adorientem00fred	2823168	enk	1889	London	W.H. Allen & Co.	Ad orientem.	NULL	NULL	A. D. Frederickson	81955	UK	NULL	NULL	NULL	D	DS	507	eng	NULL
833225	158703	eng	RM751 .D6	9009173	opsoninsvaccines00ditmrich	18366387	ilu	1908	[Chicago	American Medical Association Press	Opsonins and vaccines in medicine and surgery	1877	NULL	Norman Edward Ditman	12930	USA	IL	31	NULL	R	RM	751	eng	1877
97310	105478	eng	F70 .B98	3027047	recordofbenjamin00bost	0	mau	1883	Boston	[s.n.]	record of Benjamin F. Butler since his election as governor of Massachusetts.	NULL	NULL	NULL	15244	USA	MA	NULL	NULL	F	F	70	eng	NULL
295398	780341	eng	SK601 W65	0	passwhit00whituoft	0		1906	New York	Outing Pub. Co.	Pass.	1873	NULL	Stewart Edward White	22055	USA	NY	33	NULL	S	SK	601	eng	1873
995112	1356057			0	fragmentsofliter00nulliala	0	enk	1790	[S.l	s.n.,17--?]	Fragments of literature I-XI]	NULL	NULL	NULL	13413	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
953903	453587		PS2394.M34 F7	33038797	fromavalonotherp00milliala	8960256	ilu	1896	Chicago	A. C. McClurg and Company	From Avalon, and other poems	1833	NULL	Emily Huntington Miller	8328	USA	IL	63	NULL	P	PS	2394	eng	1833
321166	776386	eng	E517 .B63	0	frmontshundred00blai	0	dcu	1862	Washington	Printed at the Congressional globe office	Fr	1821	1862	Blair, Frank P.	12444	USA	DC	41	NULL	E	E	517	eng	1821
670092	673729	eng		10000611	swahilienglishdi00mada	0	enk	1903	Oxford	Clarendon Press	Swahili-English dictionary	1846	NULL	A. C. Madan	187390	UK	NULL	57	NULL	NULL	NULL	NULL	Unknown	1846
531064	777128	eng	PZ3.S5524 S	3005124	storyoflife01sher	22376420	enk	1825	London	Longman, Hurst, Rees, Orme, Brown, and Green	story of a life	1789	NULL	Moyle Sherer	58386	UK	NULL	36	NULL	P	PZ	3	eng	1789
749374	604312	eng	CT101 .B8 no. 6	14015301	personalreminis00jerdgoog	401370	xx	1875	New York	Scribner, Armstrong and company	Personal reminiscences	1779	NULL	Moore, Thomas	105788	USA	NY	96	NULL	C	CT	101	eng	1779
162952	244735			0	lhonntecriminel00falbgoog	2677561		1767		Chez Merlin, libraire	L'honn	NULL	NULL	Fenouillot de Falbaire (Charles -Georges)	20675	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
1001269	531241		D919 .W34	3016770	memphianstriptoe00watsrich	0	tnu	1874	Nashville, Tenn	Southern Methodist publishing house	Memphian's trip to Europe with Cook's educational party	1813	NULL	Watson, S.	98393	USA	TN	61	NULL	D	D	919	eng	1813
466189	978031	eng		0	etymologiesinse00mustgoog	10008594		1892		The Gazette Printing Company	The Etymologies in the Servian Commentary to Vergil	1864	NULL	Wilfred Pirt Mustard	8837	NULL	NULL	28	NULL	NULL	NULL	NULL	eng	1864
115666	853743			0	newcasesincourt01pleagoog	5119806		1836		Saunders and Benning	New Cases in the Court of Common Pleas, and Other Courts: With Tables of the Cases and Principal ...	NULL	NULL	Peregrine Bingham 	251009	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
961897	468921		PR5006 S5 1918	0	shavingofshagpat00mereuoft	0	|||	1918	London	Constable	shaving of Shagpat	1828	NULL	George Meredith	84548	UK	NULL	90	NULL	P	PR	5006	eng	1828
716110	746772	eng	TN24.C2 A3 no. 76	0	manganesechromiu00bradrich	2161286	cau	1918	Sacramento	California State Printing Office	Manganese and chromium in California	1878	1918	Walter W. Bradley	189152	USA	CA	40	NULL	T	TN	24	eng	1878
835198	620259	eng	JK526 1876 .F5	9024868	votethatmadepre01fielgoog	1721071	nyu	1877	New York	D. Appleton & company	vote that made the president.	1805	1877	David Dudley Field	6748	USA	NY	72	NULL	J	JK	526	eng	1805
195510	66554			0	sweetlavenderac00pinegoog	3879011		1893		W.H. Baker	Sweet Lavender: A Comedy in Three Acts	NULL	1893	Sir Arthur Wing Pinero	23163	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
572467	1181612			0	surlestroublesde00dumo	0	fr	1791	A Paris	de l'Imprimerie de Didot jeune	Sur les troubles des colonies	NULL	NULL	Joseph-Pierre Du Morier	13467	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
43315	942132	eng		0	gestachristiorhi00brac	13658835	nyu	1897	New York	A. C. Armstrong & Son	Gesta Christi	1826	1883	Charles Loring Brace	144591	USA	NY	71	NULL	NULL	NULL	NULL	eng	1826
378862	726439	ger		0	literarischerei01palagoog	17362739		1838		Bei Kronberger's Witwe und Weber	Literarische Reise nach Italien im Jahre 1837 zur Aufsuchung von Quellen der ...	1798	NULL	František Palacký	38677	NULL	NULL	40	NULL	NULL	NULL	NULL	lat	1798
379899	908770	eng		0	mermaidandother00pattgoog	8082861		1897		Published by the author	The Mermaid and Other Pieces	1866	NULL	John Edward Patterson	21519	NULL	NULL	31	NULL	NULL	NULL	NULL	eng	1866
851708	1301589			0	fortyninerschron00whit	0		1918	Toronto	Glasgow, Brook	forty-niners	1873	NULL	Stewart Edward White	55039	NULL	NULL	45	NULL	NULL	NULL	NULL		1873
700844	444773	ger		0	pt2derbabylonisc04leip	222106151	ge	1901	Leipzig	Harrassowitz	Der Babylonische Talmud mit Einschluss der vollstaendigen Misnah	NULL	NULL	NULL	NULL	Germany	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
513189	855006	eng		0	taleoftensaltwat03russ	13368002	enk	1896	London	Chatto & Windus	The tale of the ten	1844	NULL	William Clark Russell	45404	UK	NULL	52	NULL	NULL	NULL	NULL	eng	1844
913396	755653		PS8524 I55 L6 1909	0	lonesomebarroman00maciuoft	0	quc	1909	Montreal	Desbarats & Co.	Lonesome bar	1867	1909	Tom MacInnes	26733	Canada	NULL	42	NULL	P	PS	8524	eng	1867
168628	82149			0	lawsmotionanele00lavegoog	19748707		1889		Rivingtons	The Laws of Motion: An Elementary Treatise on Dynamics	NULL	1889	Wallis Hay Laverty	47813	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
638196	731137	spa	F2871 S67 1908	0	geografadelapr00sori	25839037		1908	Catamarca	Tall' Tipogr	Geograf	NULL	NULL	Manuel Soria	17160	NULL	NULL	NULL	NULL	F	F	2871	spa	NULL
418531	653367	fre		0	annuairedudpart67unkngoog	1716335		1880		De l'impr. de J. Elie[etc.]	Annuaire du D	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
604638	451928	fre		0	lasutureintestin00terr	14785443	fr	1898	Paris	Institut de bibliographie scientifique	La suture intestinale; histoire des diff	1837	NULL	Félix Terrier	100330	France	NULL	61	NULL	NULL	NULL	NULL	fre	1837
182367	1059711			0	bonniejeanacoll01rossgoog	0		1898		Raeburn	Bonnie Jean: A Collection of Papers and Poems Relating to the Wife of Robert ...	NULL	NULL	John Dawson Ross 	54228	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
835220	782615	eng	CS71.W739  1876	9025084	willoughbyfamily00gree	12173277	nyu	1876	New York	Privately printed	Willoughby family of New England	1833	NULL	Isaac J. Greenwood	6155	USA	NY	43	NULL	C	CS	71	eng	1833
11493	171032		E457 .L7356	28005861	autobiography00linco	16784174	xx	1920	[n.p		autobiography of Abraham Lincoln ...	1809	NULL	Abraham Lincoln	NULL	NULL	NULL	111	NULL	E	E	457		1809
363740	350509	eng		0	balladsandsonne01rossgoog	3944819		1881		Ellis and White	Ballads and Sonnets	1828	NULL	Dante Gabriel Rossetti	31680	NULL	NULL	53	NULL	NULL	NULL	NULL	eng	1828
90643	58667	eng	PK4474.Z57 S9	45046710	englishtranslati02susr	3242930	ii	1907	Calcutta		An English translation of the Sushruta samhita	NULL	1907	Susruta.	221416	India	NULL	NULL	NULL	P	PK	4474	eng	NULL
110329	1033571			0	plutarchslives00longgoog	0		1881			Plutarch's Lives	NULL	1881	Aubrey Stewart and George Long	209678	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
314384	547738	eng	BS1205 .K5	12023139	twelvestudiesonm00kent	0	nyu	1913	New York	C. Scribner's sons	Twelve studies on the making of a nation	1867	1912	Charles Foster Kent	37602	USA	NY	46	NULL	B	BS	1205	eng	1867
76905	775642	eng	PF3111 .C3	21004426	germancompositi01holzgoog	0	mau	1921	Boston	D. C. Heath & Co.	German composition	NULL	NULL	Herbert D. Carrington	36942	USA	MA	NULL	NULL	P	PF	3111	Unknown	NULL
835744	131849	eng	HS431 .M857	9028635	cu31924030294510	2557198	ilu	1895	Chicago	The Werner Company	poetry of freemasonry.	1818	NULL	Morris, Robert	98181	USA	IL	77	NULL	H	HS	431	eng	1818
802152	975849	eng	DA787.A2 D42	3029753	cu31924028150856	546108	nyu	1882	New York	C. H. Ludwig, printer	Mary, queen of Scots.	1821	1882	De Peyster, J. Watts	35364	USA	NY	61	NULL	D	DA	787	eng	1821
726398	277990	eng	DF215 .M25 1829	36003922	historygreecefr00goog	2641953	enk	1829	London	Baldwin and Cradock	History of Greece from the earliest times to its final subjection to Rome	1802	NULL	Frederick Malkin	207104	UK	NULL	27	NULL	D	DF	215	eng	1802
190443	586491			0	murderwilloutfi00beckgoog	19328990		1867		s.n	Murder Will Out: The First Step in Crime Leads to the Gallows. The Horrors of the Queen City ...	NULL	1867	William L. De Beck	49035	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
162911	1052669			0	lifeandjourneys00parlgoog	0		1845			The life and journeys of Paul the apostle	NULL	1845	Peter Parley	33823	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
93813	768099	eng		0	bookoldedinburg01dunlgoog	2210493	stk	1886	Edinburgh	T. and A. Constable	book of old Edinburgh	NULL	1886	John Charles Dunlop	27170	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
258368	695326	ara	BP189.26 I24 1852	0	alfutuhatalmakki01ibnauoft	0		1852	Bulaq	Dar al-tiba'ah al-bahirah	Al- Futuhat al-Makkiyah	1165	1852	Ibn al-Arabi	NULL	NULL	NULL	687	NULL	B	BP	189	ara	1165
346085	892916	spa	F3423 .G77	7021579	viajededestierr00grezgoog	0	cl	1893	Santiago de Chile	Imprenta Cervantes	Viaje de destierro.	1843	1893	Vicente Grez	2843	NULL	NULL	50	NULL	F	F	3423	spa	1843
210830	764295			0	elementspsychol01hillgoog	3524506		1888		Sheldon	The Elements of Psychology: A Text-book	NULL	1888	David Jayne Hill	110752	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
111127	644582			0	collegeentrance00unkngoog	4317565		1896		American book company	College Entrance Requirements in English, 1901-1905 (for Study and Practice).	NULL	NULL	NULL	155643	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
39294	163406	ger	PA2075 R5	50041643	diegrammaticafig00ringuoft	0	fr	1905	Strassburg	J.H.E. Heitz	Grammatica figurata des Mathias Ringmann (Philesius Vogesigena) in Faksimiledruck	1482	NULL	Matthias Ringmann	9519	France	NULL	423	NULL	P	PA	2075	lat	1482
798812	841095	eng	BV3790 .C53	3011842	presentdayevang00chapgoog	1179501	xx	1903	New York	Baker & Taylor Co	Present-day evangelism	1859	1903	J. Wilbur Chapman	43444	USA	NY	44	NULL	B	BV	3790	eng	1859
45415	271538	eng	BR515 .A57 1893 v.4	0	historyofevangel04jaco	9298365	nyu	1893	New York	Christian Literature Co.	history of the Evangelical Lutheran church in the United States	1844	1893	Henry Eyster Jacobs	152393	USA	NY	49	NULL	B	BR	515	eng	1844
288875	365935	eng		0	lifestrangesurpr08defo	8327844	pau	1908	Philadelphia	Henry Altemus	life and strange surprising adventures of Robinson Crusoe, of York, Mariner, as related by himself	1661	NULL	Daniel Defoe	227994	USA	PA	247	NULL	NULL	NULL	NULL	eng	1661
50259	112948	eng	PR4168 B5	0	lifeofcharlotteb00birruoft	0		1887	London	W. Scott	Life of Charlotte Bront	1850	NULL	Augustine Birrell	44882	UK	NULL	37	NULL	P	PR	4168	eng	1850
56892	496380	eng	F74.N15 N2	99000970	nantasketviewswr00dorc	0	mau	1899	Dorchester, Mass	B. W. Putnam	Nantasket views; wreckage of the great storm, November 27th, 1898.	NULL	NULL	NULL	NULL	USA	MA	NULL	NULL	F	F	74	eng	NULL
674927	902027	eng	PR3551 .S7	42033991	poeticalworks18400milt	0	nyu	1847	New York	D. Appleton & co.	[Poetical works. 1847]	1608	NULL	John Milton	177287	USA	NY	239	NULL	P	PR	3551	eng	1608
1005488	11646		VG463 .A3 1912	12035394	medicalhandbookf00unitrich	0	dcu	1912	Washington	Govt. Print. Off.	Medical handbook for the use of lighthouse vessels and stations.	NULL	NULL	United States. Bureau of Light-Houses.	24996	USA	DC	NULL	NULL	V	VG	463	eng	NULL
358139	110150	eng	GV1277 .P48 1890	5026320	americanwhistil01pgoog	0	xx	1890	Boston and New York	Houghton, Mifflin and company	American whist illustrated.	NULL	1890	George William Pettes	64342	USA	MA	NULL	NULL	G	GV	1277	eng	NULL
